Video ID	Description	Create Time	Likes	Comments	Shares
7426487262722166021	Primeiro episódio do quadro Reformylson 🏠✨ Lançamos o desafio de transformar um quarto branco em algo mágico, moderno e com até 3 mil reais no app Casas Bahia. E aí, curtiu essa transformação? Aproveita que tá rolando a campanha #QuerGanharQuanto e você pode escolher o que ganhar. Quer desconto? Pague no Pix! Quer parcelar em 10 vezes sem juros? Compre no cartão Casas Bahia. Ou precisa de crédito? Vai de carnê! 💙 Baixe o app e aproveite 📱 #QuerGanharQuanto #CasasBahia	1729113823	27	2	0
7426053588784401669	Casas Bahia + The Real Estate Brasil, direto da casa Vernon 🏠 A Adriane Teixeira fez um tour pelo lugar que é o amor das famílias brasileiras: a cozinha! 👩🏼‍🍳 E aí, o que vocês mais gostaram? Você encontra todos esses produtos no app, site ou loja da Casas Bahia. Clica no link da bio e aproveita 📱 #TheRealEstateBrasil #CasasBahia	1729012847	17	4	4
7425705214524542213	O @euwelington.santos foi até uma das nossas lojas pra garantir seu novo smartphone 📱 Ele sabe que somos o destino certo para achar um aparelho completo  🛍️  E aí, qual celular você tá pensando em comprar? #SeuSmartphoneTáNaMão #CasasBahia	1728931735	18500	223	487
7424617508814015750	Pensando em trocar o seu smartphone? Corre pro app, site ou loja da Casas Bahia que tá em promoção 📱💙 E aí, qual modelo você anda procurando? #CasasBahia #SeuSmartphoneTáNaMão	1728734400	28	2	3
7424585320043138309	"Se meu smartphone falasse, seria assim: ""Socorro 😩 Já dei tudo de mim, tá na hora de me aposentar! 📱🔋"" Hora de atender ao pedido do seu celular e garantir um upgrade na Casas Bahia. Porque aqui, seu smartphone tá na mão com as melhores ofertas! 💙 Corre no app, site ou loja e troque o seu agora mesmo! #SeuSmartphoneTáNaMão #CasasBahia"	1728670988	7193	44	177
7424138355266325765	"Aprenda a coreografia oficial do nosso hit ""Seu smartphone tá na mão"" e entre no ritmo das melhores ofertas de celulares na Casas Bahia! 📱💙 #SeuSmartphoneTáNaMão #CasasBahia"	1728566917	22	7	2
7423937523589614854	O anúncio que todo mundo estava esperando! 😎 É oficial: a Casas Bahia é a nova PATROCINADORA OFICIAL do futebol brasileiro em 2025! E a parceria é pesada, com a @cazetv_oficial 🏆 Vai ser uma temporada histórica no @youtubebrasil ⚽💙 #CazéTV #CasasBahia #FutebolBrasileiro2025	1728520161	33	1	8
7423532632123706630	O sonho que se tornou realidade, Bia! 😎 Agora você pode gritar pro Brasiiiiil inteiro ouvir: QUER GANHAR QUANTO? 🛍️💙​ ​ Compre no Pix e ganhe desconto. Quer parcelar? Compre no cartão Casas Bahia. E se precisar de crédito, vem de carnê! Na Casas Bahia, você pode escolher o que quer ganhar. Baixe o app e aproveite! 📱 #QuerGanharQuanto #CasasBahia​ ​	1728425891	45	10	13
7423408727685958918	A ligação mais esperada! ☎️ Falei com a Bia do Brás e agora é com vocês: quer ganhar quanto? Pague no Pix e ganhe desconto, ou então compre em até 30 vezes fixas no cartão Casas Bahia. E se precisar de crédito, vai de carnê! 📱💙 #DedicaçãoTotalAVocê #CasasBahia #QuerGanharQuanto	1728397041	24	3	6
7422039102826073349	Bruno Mars tá de volta ao Brasil e eu já tô no clima, dançando e curtindo! 🕺✨ Os shows só estão começando e com certeza será um mais lindo que o outro!  Tá empolgado também? #ComeToBrazil #BrunoMarsNoBrasil #BrunoMars 	1728078154	66	4	21
7421910149943676166	Você gosta de ganhar? 💰💙 Com certeza, esse momento é seu. Ative as notificações das nossas redes sociais, baixe o app e fique por dentro de tudo que vai rolar na nossa nova campanha 📱 #QuerGanharQuanto? 	1728048126	20	0	0
7421679337914551557	Melhor do que escolher quanto quer pagar, é escolher o quanto quer ganhar! 💰💙 Quer mais desconto? Pague no Pix! Precisa de crédito pra realizar o seu sonho? Compre no carnê! E se quiser mais parcelamento, é só usar o cartão Casas Bahia. Na Casas Bahia, a escolha é sua e as oportunidades também! E aí, quer ganhar quanto?  Consulte o regulamento completo em: https://www.casasbahia.com.br/regulamentoquerganharquanto 📱 #QuerGanharQuanto #CasasBahia	1727994389	39	1	4
7421171294290431238	Quer ______ quanto? 👀 Tem alguma ideia do que vem por aí? Então, já deixa nos comentários o seu palpite 💰💙	1727876097	22	4	1
7420923635755502853	Pensou Smartphone? Pensou Casas Bahia! 🎵 A tecnologia que você precisa tá aqui com as melhores ofertas! 📱💙 Corre pra aproveitar e garantir o seu celular na loja, app ou site! 🤳 #SeuSmartphoneTáNaMão	1727818437	17	1	4
7419423973601037573	Precisando de uma caixa de som pra curtir o final de semana? Se liga na dica da DJ Ana e da DJ Veneno! 🎵😂 Na Casas Bahia tem as escolhas certas: som potente, bateria que dura horas e fácil de levar pra qualquer lugar! E o melhor, o #AniversárioCasasBahia foi prorrogado. Então, corre pra garantir a sua com cupom de desconto exclusivo no app, site ou loja! 💙 Não vai perder essa, né?	1727607600	12	3	0
