Hashtag	Contagem
Al-Hilal	8
Agnaldo Rayol	40
Quincy Jones	35
Chelsea	20
Lazio	18
Fulham	38
Lexa	15
Novembro Azul	34
Dawson's Creek	17
SEI	49
Tardezinha	10
Consciência Negra	46
Cabeça decepada Halloween	10
Cybertruck	15
Al Ahli	0
Ponte Preta	100
Zumbi dos Palmares	24
Calendário dezembro 2024	12
Salto bungee jump	0
Ferias	44
